Release_Year,EventGroup_strTitle,Event_dtmReleaseDate
2013,Hansel And Gretel Witch Hunters,01/01/2013 00:00:00
2013,7 Days In Slow Motion,04/01/2013 00:00:00
2013,Chinese Zodiac,04/01/2013 00:00:00
2013,The Impossible,04/01/2013 00:00:00
2013,Tropical Races 3,04/01/2013 00:00:00
2013,Universal Soldier: Day Of Reckoning,04/01/2013 00:00:00
2013,Comic Vampire,05/01/2013 00:00:00
2013,Dinosaur Reappearance,05/01/2013 00:00:00
2013,Roller Coaster & Dinosaur Adventure,05/01/2013 00:00:00
2013,Gangster Squad,11/01/2013 00:00:00
2013,Les Miserables.,11/01/2013 00:00:00
2013,Promised Land,11/01/2013 00:00:00
2013,Broken City,18/01/2013 00:00:00
2013,The Last Stand,18/01/2013 00:00:00
2013,This Is 40,22/01/2013 00:00:00
2013,End of Watch,25/01/2013 00:00:00
2013,Dance Of Death,30/01/2013 00:00:00
2013,Strange Stories & Dinosaur Reappearance,30/01/2013 00:00:00
2013,Bullet To The Head ,01/02/2013 00:00:00
2013,Here Comes the Boom,01/02/2013 00:00:00
2013,Midnight's Children,01/02/2013 00:00:00
2013,Parker,01/02/2013 00:00:00
2013,Argo,02/02/2013 00:00:00
2013,Lincoln,08/02/2013 00:00:00
2013,Mama,08/02/2013 00:00:00
2013,Beautiful Creatures,13/02/2013 00:00:00
2013,Forest Adventure & Ice Fighter,15/02/2013 00:00:00
2013,Forest Adventure & Roller Coaster,15/02/2013 00:00:00
2013,Ice Fighter & Roller Coaster,15/02/2013 00:00:00
2013,The Perks Of Being A Wallflower,15/02/2013 00:00:00
2013,Zero Dark Thirty,15/02/2013 00:00:00
2013,A Good Day To Die Hard,22/02/2013 00:00:00
2013,Dark Skies,22/02/2013 00:00:00
2013,Silver Linings Playbook,22/02/2013 00:00:00
2013,Pinocchio,24/02/2013 00:00:00
2013,Flight,01/03/2013 00:00:00
2013,Haunted Graves + Night With Toys,01/03/2013 00:00:00
2013,Jack The Giant Slayer ,01/03/2013 00:00:00
2013,Night At Toy Store + Roller Coaster,01/03/2013 00:00:00
2013,Pharaoh Queen +Time Machine,01/03/2013 00:00:00
2013,Predator Attack + Prehistoric Adventure,01/03/2013 00:00:00
2013,Rescue And Path Finder Snow,01/03/2013 00:00:00
2013,Dandelion,03/03/2013 00:00:00
2013,Prehistoric Adventure + Night With Toys,05/03/2013 00:00:00
2013,21 & Over,08/03/2013 00:00:00
2013,All I Want Is Everything,08/03/2013 00:00:00
2013,Flying Swords of Dragon Gate ,08/03/2013 00:00:00
2013,Oz The Great And Powerful  ,08/03/2013 00:00:00
2013,Snitch,08/03/2013 00:00:00
2013,Zarafa,14/03/2013 00:00:00
2013,Texas Chainsaw,15/03/2013 00:00:00
2013,The Incredible Burt Wonderstone,15/03/2013 00:00:00
2013,The Master,15/03/2013 00:00:00
2013,Identity Thief,22/03/2013 00:00:00
2013,Olympus Has Fallen,22/03/2013 00:00:00
2013,The Adventures of Sinbad,22/03/2013 00:00:00
2013,Warm Bodies ,23/03/2013 00:00:00
2013,G.I. Joe: Retaliation,27/03/2013 00:00:00
2013,Django Unchained,29/03/2013 00:00:00
2013,Saint Dracula,29/03/2013 00:00:00
2013,Ride In The Mines + Ice Fighter Combo,01/04/2013 00:00:00
2013,Jurassic Park ,05/04/2013 00:00:00
2013,The Call,05/04/2013 00:00:00
2013,Fists of Legend,12/04/2013 00:00:00
2013,Oblivion,12/04/2013 00:00:00
2013,The Place Beyond the Pines,12/04/2013 00:00:00
2013,Bloody Road And Ice fighter,13/04/2013 00:00:00
2013,Bloody Road And Roller Coaster,13/04/2013 00:00:00
2013,Predator Attack And Forest Adventure,13/04/2013 00:00:00
2013,Java Heat,17/04/2013 00:00:00
2013,Escape from Planet Earth,18/04/2013 00:00:00
2013,Lessons in Forgetting,19/04/2013 00:00:00
2013,Scary Movie 5,19/04/2013 00:00:00
2013,The Croods ,19/04/2013 00:00:00
2013,The Host,19/04/2013 00:00:00
2013,Admission,22/04/2013 00:00:00
2013,King Kong + Prehistoric Adventure,24/04/2013 00:00:00
2013,Pirates and Roller Coaster Ride,24/04/2013 00:00:00
2013,Fun Adventure Show,25/04/2013 00:00:00
2013,Horror & Thriller Show,25/04/2013 00:00:00
2013,42,26/04/2013 00:00:00
2013,Evil Dead,26/04/2013 00:00:00
2013,Iron Man 3 ,26/04/2013 00:00:00
2013,Software Hardware....Kya Yaaron,26/04/2013 00:00:00
2013,Safe Haven,28/04/2013 00:00:00
2013,Road To Death & Roller Coaster,01/05/2013 00:00:00
2013,Dracula 4D,03/05/2013 00:00:00
2013,Habi The Foreigner,03/05/2013 00:00:00
2013,Mud,03/05/2013 00:00:00
2013,Side Effects,03/05/2013 00:00:00
2013,Celluloid Man ,04/05/2013 00:00:00
2013,Garfield,10/05/2013 00:00:00
2013,Star Trek Into Darkness ,10/05/2013 00:00:00
2013,Sons Of Ram,13/05/2013 00:00:00
2013,Epic,17/05/2013 00:00:00
2013,The Great Gatsby ,17/05/2013 00:00:00
2013,The Reluctant Fundamentalist,17/05/2013 00:00:00
2013,Journey To The Centre Of The Earth,18/05/2013 00:00:00
2013,3 Geezers,22/05/2013 00:00:00
2013,Plimpton,22/05/2013 00:00:00
2013,Fast & Furious 6 ,24/05/2013 00:00:00
2013,Fill The Void,24/05/2013 00:00:00
2013,Peeples,24/05/2013 00:00:00
2013,We Steal Secrets: The Story of Wikileaks,24/05/2013 00:00:00
2013,Forest Adventure & King Kong Returns,29/05/2013 00:00:00
2013,Predator & Pirates,29/05/2013 00:00:00
2013,A Green Story,31/05/2013 00:00:00
2013,Alyce Kills,31/05/2013 00:00:00
2013,Cinderella 3D,31/05/2013 00:00:00
2013,The East,31/05/2013 00:00:00
2013,The Hangover Part III,31/05/2013 00:00:00
2013,The Purge,31/05/2013 00:00:00
2013,Welcome to the Punch,31/05/2013 00:00:00
2013,Desert Ride & Roller Coaster,01/06/2013 00:00:00
2013,After Earth,07/06/2013 00:00:00
2013,Dungeons And Dragons 3,07/06/2013 00:00:00
2013,Now You See Me,07/06/2013 00:00:00
2013,The Internship,07/06/2013 00:00:00
2013,Dracula + Roller Coaster,12/06/2013 00:00:00
2013,Blood Ties,13/06/2013 00:00:00
2013,Man of Steel ,14/06/2013 00:00:00
2013,Strange Stories & Sea Adventure,14/06/2013 00:00:00
2013,The Bling Ring,14/06/2013 00:00:00
2013,Evil Dead,20/06/2013 00:00:00
2013,Monsters University,21/06/2013 00:00:00
2013,World War Z ,21/06/2013 00:00:00
2013,How to Make Money Selling Drugs,26/06/2013 00:00:00
2013,100 Bloody Acres,28/06/2013 00:00:00
2013,A Band Called Death,28/06/2013 00:00:00
2013,Byzantium,28/06/2013 00:00:00
2013,Copperhead,28/06/2013 00:00:00
2013,Detention Of The Dead,28/06/2013 00:00:00
2013,Europa Report,28/06/2013 00:00:00
2013,I'm So Excited,28/06/2013 00:00:00
2013,Redemption,28/06/2013 00:00:00
2013,The Colony,28/06/2013 00:00:00
2013,The Heat,28/06/2013 00:00:00
2013,The Saint Who Thought Otherwise,28/06/2013 00:00:00
2013,Forest Adventure New,01/07/2013 00:00:00
2013,Haunted Graves & Haunted House,01/07/2013 00:00:00
2013,Scorpion King & Ice Fighter,01/07/2013 00:00:00
2013,Time Machine & Forest Adventure,01/07/2013 00:00:00
2013,Time Machine & Roller Coaster,01/07/2013 00:00:00
2013,Big Star : Nothing Can Hurt Me,03/07/2013 00:00:00
2013,Kevin Hart: Let Me Explain,03/07/2013 00:00:00
2013,Despicable Me 2,05/07/2013 00:00:00
2013,Dinsaur + Invasion,05/07/2013 00:00:00
2013,Night At The Toy Store + Invasion,05/07/2013 00:00:00
2013,The Iceman,05/07/2013 00:00:00
2013,The Lone Ranger,05/07/2013 00:00:00
2013,"The Way, Way Back",05/07/2013 00:00:00
2013,Tomb + Invasion,05/07/2013 00:00:00
2013,Pacific Rim ,12/07/2013 00:00:00
2013,High Flight and Robin Hood,13/07/2013 00:00:00
2013,Only God Forgives,18/07/2013 00:00:00
2013,Red 2,19/07/2013 00:00:00
2013,Ship Of Theseus,19/07/2013 00:00:00
2013,The Conjuring,19/07/2013 00:00:00
2013,Turbo ,19/07/2013 00:00:00
2013,White House Down,19/07/2013 00:00:00
2013,Dinosaur Movie,25/07/2013 00:00:00
2013,Polar Roller Coaster And Forest Adventure,25/07/2013 00:00:00
2013,"Thrill, Horror And Adventure",25/07/2013 00:00:00
2013,Architecture 101 ,26/07/2013 00:00:00
2013,Beneath the Surface,26/07/2013 00:00:00
2013,Blue Jasmine,26/07/2013 00:00:00
2013,The Kings of Summer,26/07/2013 00:00:00
2013,The To Do List,26/07/2013 00:00:00
2013,The Wolverine ,26/07/2013 00:00:00
2013,Pharaoh Queen And Haunted Graves,28/07/2013 00:00:00
2013,The Little Lion King,28/07/2013 00:00:00
2013,Rescue & Adventure Of Toy Land,31/07/2013 00:00:00
2013,Killing Season,01/08/2013 00:00:00
2013,R.I.P.D ,02/08/2013 00:00:00
2013,The Big Wedding,02/08/2013 00:00:00
2013,The Man With The Iron Fists,02/08/2013 00:00:00
2013,The Smurfs 2 ,02/08/2013 00:00:00
2013,Vehicle 19 ,02/08/2013 00:00:00
2013,Zambezia ,02/08/2013 00:00:00
2013,Prince Avalanche,09/08/2013 00:00:00
2013,Pawn Shop Chronicles,12/08/2013 00:00:00
2013,Robin Hood and Forest Adventure,13/08/2013 00:00:00
2013,Robin Hood and Roller Coaster,13/08/2013 00:00:00
2013,Haunted House And Roller Coaster,16/08/2013 00:00:00
2013,High Flight and Roller Coaster,16/08/2013 00:00:00
2013,Desert Ride & Forest Adventure,21/08/2013 00:00:00
2013,Dracula + Invasion,21/08/2013 00:00:00
2013,Dracula + Path Finder Snow,21/08/2013 00:00:00
2013,Natts + Path Finder Snow,21/08/2013 00:00:00
2013,Night At The Toy Store +Time Machine,21/08/2013 00:00:00
2013,Path Finder Snow + Roller Coaster,21/08/2013 00:00:00
2013,Phantom House,21/08/2013 00:00:00
2013,Sleigh Ride + Forest Adventure,21/08/2013 00:00:00
2013,Terrific Dinosaur + Path Finder Snow,21/08/2013 00:00:00
2013,Tomb + Forest Adventure Combo,21/08/2013 00:00:00
2013,Tomb + Path Finder Snow Combo,21/08/2013 00:00:00
2013,Before Midnight,23/08/2013 00:00:00
2013,Drinking Buddies,23/08/2013 00:00:00
2013,Jobs,23/08/2013 00:00:00
2013,Kick-Ass 2,23/08/2013 00:00:00
2013,Planes ,23/08/2013 00:00:00
2013,Savannah,23/08/2013 00:00:00
2013,Scenic Route,23/08/2013 00:00:00
2013,The Frozen Ground,23/08/2013 00:00:00
2013,The Grandmaster,23/08/2013 00:00:00
2013,The World's End,23/08/2013 00:00:00
2013,You're Next,23/08/2013 00:00:00
2013,Desert Ride+Aero Bike,24/08/2013 00:00:00
2013,Dinosaur+Aero Bike,24/08/2013 00:00:00
2013,Ice Fighter+Forest Adventure,24/08/2013 00:00:00
2013,Phantom House,24/08/2013 00:00:00
2013,The Lifeguard,24/08/2013 00:00:00
2013,Dracula+Aero Bike,26/08/2013 00:00:00
2013,Natts+Aero Bike,26/08/2013 00:00:00
2013,Prehistoric adventure + Aero Bike,26/08/2013 00:00:00
2013,Terrific Dinosaur + Aero Bike,26/08/2013 00:00:00
2013,Tomb Of Pharaoh Queen + Roller Coaster,26/08/2013 00:00:00
2013,Closed Circuit,28/08/2013 00:00:00
2013,Afternoon Delight,30/08/2013 00:00:00
2013,Empire State,30/08/2013 00:00:00
2013,Getaway,30/08/2013 00:00:00
2013,I Declare War,30/08/2013 00:00:00
2013,Instructions Not Included,30/08/2013 00:00:00
2013,Passion,30/08/2013 00:00:00
2013,Percy Jackson: Sea Of Monsters,30/08/2013 00:00:00
2013,Pharaoh Queen + Strange Stories,30/08/2013 00:00:00
2013,The Mortal Instruments: City Of Bones,30/08/2013 00:00:00
2013,We're the Millers,30/08/2013 00:00:00
2013,Bob And The Monster,03/09/2013 00:00:00
2013,Apocalypse,06/09/2013 00:00:00
2013,Bounty Killer,06/09/2013 00:00:00
2013,Mission Park,06/09/2013 00:00:00
2013,One Direction: This Is Us ,06/09/2013 00:00:00
2013,Pain And Gain,06/09/2013 00:00:00
2013,Riddick,06/09/2013 00:00:00
2013,The Ultimate Life,06/09/2013 00:00:00
2013,This Is Us ,06/09/2013 00:00:00
2013,"Roller Coaster, Ghost Stories & Dinosaurs Thrillers",10/09/2013 00:00:00
2013,Grown Ups 2,13/09/2013 00:00:00
2013,Machete Kills,13/09/2013 00:00:00
2013,"Terrific Dinosaurs, Forest area And Pathfinder Snow",14/09/2013 00:00:00
2013,Generation Iron,16/09/2013 00:00:00
2013,"Prehistoric Adventure, Alien Safari And Roller Coaster",17/09/2013 00:00:00
2013,The Last Exorcism Part II,17/09/2013 00:00:00
2013,Hell Baby,19/09/2013 00:00:00
2013,2 Guns,20/09/2013 00:00:00
2013,A Single Shot,20/09/2013 00:00:00
2013,Battle Of The Year,20/09/2013 00:00:00
2013,Cold Comes The Night,20/09/2013 00:00:00
2013,Fruitvale Station,20/09/2013 00:00:00
2013,Malavita,20/09/2013 00:00:00
2013,Rush ,20/09/2013 00:00:00
2013,This Is The End,20/09/2013 00:00:00
2013,Poseidon Rex,22/09/2013 00:00:00
2013,I Spit on Your Grave 2,23/09/2013 00:00:00
2013,Baggage Claim,27/09/2013 00:00:00
2013,Dark Touch,27/09/2013 00:00:00
2013,Don Jon,27/09/2013 00:00:00
2013,Elysium ,27/09/2013 00:00:00
2013,Gambit,27/09/2013 00:00:00
2013,Human Ningen,27/09/2013 00:00:00
2013,Naked Harbour,27/09/2013 00:00:00
2013,Prisoners,27/09/2013 00:00:00
2013,Sucker ,27/09/2013 00:00:00
2013,The Citizen,27/09/2013 00:00:00
2013,The Network,27/09/2013 00:00:00
2013,We Are What We Are,27/09/2013 00:00:00
2013,Chapman,28/09/2013 00:00:00
2013,Keep Smiling ,28/09/2013 00:00:00
2013,Water,28/09/2013 00:00:00
2013,Ip Man ,30/09/2013 00:00:00
2013,Deadly Road 1 And 2,01/10/2013 00:00:00
2013,Morning,01/10/2013 00:00:00
2013,"Road to death, Ghost house & Canyon Coaster",01/10/2013 00:00:00
2013,"Space Explorer, Tropical Races & Bloody Road 2",01/10/2013 00:00:00
2013,Let The Fire Burn,02/10/2013 00:00:00
2013,Mr. Pip,03/10/2013 00:00:00
2013,A Touch Of Sin,04/10/2013 00:00:00
2013,A.C.O.D.,04/10/2013 00:00:00
2013,Argento's Dracula (3D),04/10/2013 00:00:00
2013,Bad Milo!,04/10/2013 00:00:00
2013,Concussion (English),04/10/2013 00:00:00
2013,Diana,04/10/2013 00:00:00
2013,Dislecksia: The Movie,04/10/2013 00:00:00
2013,Five Dances,04/10/2013 00:00:00
2013,Grace Unplugged,04/10/2013 00:00:00
2013,I Used To Be Darker,04/10/2013 00:00:00
2013,Linsanity,04/10/2013 00:00:00
2013,Nothing Left to Fear,04/10/2013 00:00:00
2013,Parkland,04/10/2013 00:00:00
2013,Runner Runner,04/10/2013 00:00:00
2013,Running Wild: The Life of Dayton O. Hyde,04/10/2013 00:00:00
2013,Sin City: A Dame to Kill For,04/10/2013 00:00:00
2013,The Dirties,04/10/2013 00:00:00
2013,The Institute,04/10/2013 00:00:00
2013,The Summit,04/10/2013 00:00:00
2013,Forest Adventure & Roller Coaster,08/10/2013 00:00:00
2013,Canyon Coaster And Robin Hood,09/10/2013 00:00:00
2013,High Flight And Haunted Graves,09/10/2013 00:00:00
2013,The Saratov Approach,09/10/2013 00:00:00
2013,Canyon Coaster And Pharaoh Queen,10/10/2013 00:00:00
2013,Haunted Graves And Roller Coaster,10/10/2013 00:00:00
2013,Hell & Back,10/10/2013 00:00:00
2013,Predator Attack And Robin Hood,10/10/2013 00:00:00
2013,Roller Coaster And Haunted Graves,10/10/2013 00:00:00
2013,About Time,11/10/2013 00:00:00
2013,All the Boys Love Mandy Lane,11/10/2013 00:00:00
2013,Broadway Idiot,11/10/2013 00:00:00
2013,Captain Phillips,11/10/2013 00:00:00
2013,Cassadaga,11/10/2013 00:00:00
2013,Design Is One: The Vignellis,11/10/2013 00:00:00
2013,Escape From Tomorrow,11/10/2013 00:00:00
2013,Fire In The Blood,11/10/2013 00:00:00
2013,Ghost Team One,11/10/2013 00:00:00
2013,God Loves Uganda,11/10/2013 00:00:00
2013,Gravity,11/10/2013 00:00:00
2013,I Will Follow You Into The Dark,11/10/2013 00:00:00
2013,Romeo and Juliet,11/10/2013 00:00:00
2013,Shikari Shambhu + Aerobike,11/10/2013 00:00:00
2013,Shikari Shambhu + Roller Coaster,11/10/2013 00:00:00
2013,The Inevitable Defeat Of Mister And Pete,11/10/2013 00:00:00
2013,Tomb Of Pharaoh Queen + Aero Bike,11/10/2013 00:00:00
2013,Zero Charisma,11/10/2013 00:00:00
2013,"Camille Claudel, 1915",16/10/2013 00:00:00
2013,Metallica Through The Never,16/10/2013 00:00:00
2013,Rescue And Path Finder Snow,16/10/2013 00:00:00
2013,Rescue and Roller Coaster,16/10/2013 00:00:00
2013,Rescue Jurassic Park And Canyon Coaster,16/10/2013 00:00:00
2013,Aerosmith: Rock For The Rising Sun,17/10/2013 00:00:00
2013,Rescue and Forest Adventure,17/10/2013 00:00:00
2013,All Is Lost,18/10/2013 00:00:00
2013,An American Promise,18/10/2013 00:00:00
2013,Big Ass Spider,18/10/2013 00:00:00
2013,Captain Phillips,18/10/2013 00:00:00
2013,Escape Plan ,18/10/2013 00:00:00
2013,Haunter,18/10/2013 00:00:00
2013,I'm In Love With A Church Girl,18/10/2013 00:00:00
2013,Kill Your Darling,18/10/2013 00:00:00
2013,Ride In The Mines And Haunted House,18/10/2013 00:00:00
2013,The Fifth Estate,18/10/2013 00:00:00
2013,Ride in the Mines and Path Finder Snow,19/10/2013 00:00:00
2013,Space Battleship Yamato,19/10/2013 00:00:00
2013,Ride in the Mines And Haunted Graves,21/10/2013 00:00:00
2013,The Bastards,23/10/2013 00:00:00
2013,Ice Fighter and Rescue,24/10/2013 00:00:00
2013,Roller Coaster and Ride in the Mines,24/10/2013 00:00:00
2013,Six Acts,24/10/2013 00:00:00
2013,A True Story,25/10/2013 00:00:00
2013,Bad Grandpa,25/10/2013 00:00:00
2013,Blood Brother,25/10/2013 00:00:00
2013,Blue Is The Warmest Color,25/10/2013 00:00:00
2013,I Am Divine,25/10/2013 00:00:00
2013,Losers Take All,25/10/2013 00:00:00
2013,Spinning Plates,25/10/2013 00:00:00
2013,The Butler,25/10/2013 00:00:00
2013,Wilde Salome,25/10/2013 00:00:00
2013,Dhooom 3.5,26/10/2013 00:00:00
2013,Coming Home for Christmas,29/10/2013 00:00:00
2013,Ice Fighter and Robin Hood,29/10/2013 00:00:00
2013,Ride in the Mines and Canyon Coaster,29/10/2013 00:00:00
2013,Skinwalker Ranch,30/10/2013 00:00:00
2013,A Perfect Man,01/11/2013 00:00:00
2013,Behind The Blue Veil,01/11/2013 00:00:00
2013,Big Sur,01/11/2013 00:00:00
2013,Enders Game ,01/11/2013 00:00:00
2013,Last Love,01/11/2013 00:00:00
2013,Man of Tai Chi,01/11/2013 00:00:00
2013,Mikeyboy,01/11/2013 00:00:00
2013,Mr. Nobody,01/11/2013 00:00:00
2013,Mysteries of the Unseen World ,01/11/2013 00:00:00
2013,Singularity,01/11/2013 00:00:00
2013,Sweet Dreams,01/11/2013 00:00:00
2013,The Broken Circle Breakdown,01/11/2013 00:00:00
2013,The Pervert's Guide To Ideology,01/11/2013 00:00:00
2013,These Birds Walk,01/11/2013 00:00:00
2013,Fly me to the moon & Roller Coaster,04/11/2013 00:00:00
2013,A Case Of You,06/11/2013 00:00:00
2013,Ass Backwards,08/11/2013 00:00:00
2013,At Berkeley,08/11/2013 00:00:00
2013,Best Man Down,08/11/2013 00:00:00
2013,Billy & Buddy,08/11/2013 00:00:00
2013,Free Birds ,08/11/2013 00:00:00
2013,Go For Sisters,08/11/2013 00:00:00
2013,Paris Countdown,08/11/2013 00:00:00
2013,People Of A Feather,08/11/2013 00:00:00
2013,Reaching For The Moon,08/11/2013 00:00:00
2013,The Falls: Testament Of Love,08/11/2013 00:00:00
2013,The Motel Life,08/11/2013 00:00:00
2013,Thor 2: The Dark World ,08/11/2013 00:00:00
2013,Fantasy Destination 5,11/11/2013 00:00:00
2013,Lost in Jurassic World,11/11/2013 00:00:00
2013,NT Live: Macbeth,14/11/2013 00:00:00
2013,One Chance,14/11/2013 00:00:00
2013,Charlie Countryman,15/11/2013 00:00:00
2013,Faust,15/11/2013 00:00:00
2013,Insidious: Chapter 2,15/11/2013 00:00:00
2013,The Best Man Holiday,15/11/2013 00:00:00
2013,The Counselor,15/11/2013 00:00:00
2013,The Returned,15/11/2013 00:00:00
2013,Adventure Of Toy Land+ Ice Fighter,16/11/2013 00:00:00
2013,Sleigh Ride + Nights at the Toy Store,20/11/2013 00:00:00
2013,Utu Redux,21/11/2013 00:00:00
2013,Battle of the Year ,22/11/2013 00:00:00
2013,Contracted,22/11/2013 00:00:00
2013,Home:____,22/11/2013 00:00:00
2013,Is The Man Who Is Tall Happy?: An Animated Conversation With Noam Chomsky,22/11/2013 00:00:00
2013,Last Vegas,22/11/2013 00:00:00
2013,The Christmas Candle,22/11/2013 00:00:00
2013,Weekend Of A Champion,22/11/2013 00:00:00
2013,Black Nativity,27/11/2013 00:00:00
2013,Cousin Jules,27/11/2013 00:00:00
2013,Homefront,27/11/2013 00:00:00
2013,Journey To The South Pacific,27/11/2013 00:00:00
2013,Austenland,29/11/2013 00:00:00
2013,Delivery Man ,29/11/2013 00:00:00
2013,Frozen,29/11/2013 00:00:00
2013,The End Of Time,29/11/2013 00:00:00
2013,The Punk Singer,29/11/2013 00:00:00
2013,"Road To Death,Horror Queen and Canyon Coaster",03/12/2013 00:00:00
2013,The Hunger Games: Catching Fire,03/12/2013 00:00:00
2013,Disaster Revolution & Roller Coaster,06/12/2013 00:00:00
2013,Khumba,06/12/2013 00:00:00
2013,Kids Adventure Special,06/12/2013 00:00:00
2013,Out of the Furnace,06/12/2013 00:00:00
2013,The Hunger Games: Catching Fire,06/12/2013 00:00:00
2013,The Last Days On Mars,06/12/2013 00:00:00
2013,Hours,13/12/2013 00:00:00
2013,Old Boy,13/12/2013 00:00:00
2013,Soulmate,13/12/2013 00:00:00
2013,The Hobbit: The Desolation of Smaug ,13/12/2013 00:00:00
2013,"Jet And Jin, Scorpion king, Air Flight",18/12/2013 00:00:00
2013,All The Light In The Sky,20/12/2013 00:00:00
2013,Anchorman: The Legend Continues,20/12/2013 00:00:00
2013,Cloudy With A Chance Of Meatballs 2 ,20/12/2013 00:00:00
2013,Gulliver And The Lilliputs ,20/12/2013 00:00:00
2013,Haunted Mine,20/12/2013 00:00:00
2013,Infected,20/12/2013 00:00:00
2013,Jett and Jinn,20/12/2013 00:00:00
2013,SOS Planet,20/12/2013 00:00:00
2013,The Past,20/12/2013 00:00:00
2013,Wrong Cops,20/12/2013 00:00:00
2013,Labor Day,25/12/2013 00:00:00
2013,The Invisible Woman,25/12/2013 00:00:00
2013,Tom Yum Goong 2 ,27/12/2013 00:00:00
2013,Walking with Dinosaurs,27/12/2013 00:00:00
2013,Walking with Dinosaurs 3D ,27/12/2013 00:00:00
2014,47 Ronin  ,03/01/2014 00:00:00
2014,Adventure,03/01/2014 00:00:00
2014,Devil's Due,03/01/2014 00:00:00
2014,Horror,03/01/2014 00:00:00
2014,Open Grave,03/01/2014 00:00:00
2014,Paranormal Activity: The Marked Ones,03/01/2014 00:00:00
2014,Rescue And Haunted Graves,03/01/2014 00:00:00
2014,The Amityville Horror: The Lost Tapes,03/01/2014 00:00:00
2014,The Secret Life of Walter Mitty,03/01/2014 00:00:00
2014,Ice Fighter & Roller Coaster,05/01/2014 00:00:00
2014,Phantom House+Roller Coaster,05/01/2014 00:00:00
2014,Predator Attack+Roller Coaster,05/01/2014 00:00:00
2014,Prehistoric Adventure+Roller Coaster,05/01/2014 00:00:00
2014,Scorpion King+Roller Coaster,05/01/2014 00:00:00
2014,Birth Of The Living Dead,07/01/2014 00:00:00
2014,Grudge Match,10/01/2014 00:00:00
2014,Inside Llewyn Davis,10/01/2014 00:00:00
2014,The Banshee Chapter,10/01/2014 00:00:00
2014,The Rocket,10/01/2014 00:00:00
2014,American Hustle,17/01/2014 00:00:00
2014,Carrie,17/01/2014 00:00:00
2014,"Forest Adventure, Pharaoh Queen & Canyon Coaster",17/01/2014 00:00:00
2014,Jack Ryan: Shadow Recruit,17/01/2014 00:00:00
2014,The Legend Of Hercules ,17/01/2014 00:00:00
2014,Mandela: Long Walk To Freedom,24/01/2014 00:00:00
2014,12 Years A Slave,31/01/2014 00:00:00
2014,Haunted House And High Flight,31/01/2014 00:00:00
2014,Haunted House And Predator Attack,31/01/2014 00:00:00
2014,"I, Frankenstein",31/01/2014 00:00:00
2014,Ice Fighter And High Flight,31/01/2014 00:00:00
2014,Ride In The Mine And Pre Historic Adventure,31/01/2014 00:00:00
2014,U-boat And Haunted Grave,31/01/2014 00:00:00
2014,"U.F.O, Forest Adventure And Air Flight",03/02/2014 00:00:00
